@relation cycling

@attribute max numeric
@attribute min numeric
@attribute std_dev numeric
@attribute activity {Cycling,Walking}

@data
15.097031,4.227661,2.288426,Cycling
14.289002,6.944517,2.274041,Cycling
12.27925,2.124198,2.085767,Cycling
12.110737,5.543811,2.114353,Cycling
12.37822,5.762876,2.191431,Cycling
12.897128,5.921019,2.194692,Cycling
12.366297,3.400085,2.120545,Cycling
17.61957,2.7277,2.340119,Cycling
12.272563,6.087516,2.218052,Cycling
12.10292,5.564184,2.151144,Cycling
12.219271,5.737332,2.162874,Cycling
13.75008,6.315402,2.209708,Cycling
12.718548,5.260951,2.224947,Cycling
12.724676,4.492205,2.183486,Cycling
12.843759,1.954143,1.904069,Cycling
14.945881,5.254309,2.21547,Cycling
15.525644,3.074801,2.241022,Cycling
15.114075,2.997261,2.225558,Cycling
13.156245,3.434723,2.081219,Cycling
14.30566,1.105621,2.158136,Cycling
13.787314,3.816826,2.263497,Cycling
13.909764,2.24061,2.214636,Cycling
12.791079,1.728894,2.063764,Cycling
12.428848,5.710415,2.135531,Cycling
12.907011,4.421389,2.224951,Cycling
13.340773,4.823992,2.303075,Cycling
12.07111,5.065811,2.13843,Cycling
13.503856,2.643871,2.094079,Cycling
13.001812,5.21963,2.131342,Cycling
12.69709,6.271511,2.25007,Cycling
11.909974,5.706401,2.206807,Cycling
12.434959,3.48569,1.892231,Cycling
11.841948,4.305723,2.166551,Cycling
12.288695,5.631081,2.208693,Cycling
12.67503,6.637285,2.229591,Cycling
11.874606,6.251427,2.140295,Cycling
12.015049,6.837389,2.091498,Cycling
11.979837,5.20423,2.221589,Cycling
13.667403,5.674256,2.274127,Cycling
12.685761,3.175939,2.105827,Cycling
11.412456,6.493976,2.149967,Cycling
12.577936,6.499434,2.318209,Cycling
12.410648,5.265073,2.218984,Cycling
12.584866,5.063019,2.218136,Cycling
12.037145,5.293693,2.073874,Cycling
12.111325,5.032591,2.221006,Cycling
13.600166,5.239672,2.19717,Cycling
13.681112,4.373666,2.274478,Cycling
13.192521,5.818361,2.186237,Cycling
12.368763,5.778104,2.238778,Cycling
12.500038,2.832893,1.993976,Cycling
12.293396,2.582694,2.064305,Cycling
12.332237,5.330353,2.217719,Cycling
12.470932,4.830093,2.209684,Cycling
13.033606,2.095011,2.101028,Cycling
15.082006,1.391562,2.15519,Cycling
13.099216,4.228893,2.189658,Cycling
12.808558,4.56167,2.233923,Cycling
12.620364,4.149984,2.15776,Cycling
11.730315,4.491961,2.097503,Cycling
11.938379,5.868431,2.219757,Cycling
12.291349,6.06069,2.222719,Cycling
13.43895,5.539159,2.277693,Cycling
11.737532,3.905925,2.003981,Cycling
18.993096,5.70678,2.324823,Cycling
23.429818,6.271765,2.431896,Cycling
13.758444,4.270397,2.292323,Cycling
10.814683,5.696497,1.944054,Cycling
12.213006,6.139837,2.045707,Cycling
12.276425,4.854532,2.203597,Cycling
12.150989,5.662904,2.18115,Cycling
12.029436,5.506446,2.07087,Cycling
11.730656,5.471756,2.071207,Cycling
12.839097,5.421422,2.199059,Cycling
14.264236,5.709964,2.276567,Cycling
12.975508,2.972599,2.188105,Cycling
13.560417,4.936888,2.166007,Cycling
13.291232,6.313453,2.171872,Cycling
13.079248,5.604206,2.204418,Cycling
12.187076,7.271373,2.261237,Cycling
12.388811,4.101941,2.05814,Cycling
12.856765,2.7395,2.057779,Cycling
12.416952,4.50796,2.202994,Cycling
13.207355,5.43168,2.227242,Cycling
12.640353,4.822435,2.210064,Cycling
13.123672,2.822187,2.087796,Cycling
12.940012,5.21251,2.212318,Cycling
12.99336,4.750203,2.214399,Cycling
12.096605,4.929591,2.187082,Cycling
11.249652,6.689246,2.121341,Cycling
11.320033,4.250039,2.080368,Cycling
11.91518,6.952966,2.243821,Cycling
14.871771,6.004077,2.207906,Cycling
10.616044,4.523781,2.038634,Cycling
11.812202,4.441858,2.04943,Cycling
11.474554,8.052366,2.234017,Cycling
10.806882,7.24638,2.200961,Cycling
11.696621,5.635067,2.173701,Cycling
12.278001,5.935055,2.061932,Cycling
12.928581,7.853058,2.21727,Cycling
11.520213,6.585195,2.175512,Cycling
13.72373,8.633645,2.30821,Cycling
11.814259,3.807357,2.011568,Cycling
12.537342,5.431335,2.122986,Cycling
12.463612,5.385194,2.224972,Cycling
15.133276,5.327376,2.291182,Cycling
15.94786,4.697091,2.081278,Cycling
13.507107,6.15712,2.140559,Cycling
17.04281,5.765573,2.323371,Cycling
12.255021,7.129618,2.228836,Cycling
12.644694,7.041082,2.198618,Cycling
11.938925,3.608599,2.116929,Cycling
14.714231,3.609744,2.282887,Cycling
13.246983,6.234296,2.193708,Cycling
11.77244,8.74469,2.253975,Cycling
12.828512,4.568344,2.057834,Cycling
12.677635,6.764507,2.176016,Cycling
12.735094,7.957636,2.23896,Cycling
12.478614,6.383408,2.196363,Cycling
11.147367,5.12065,2.113112,Cycling
17.199472,3.424426,2.119567,Cycling
11.991031,7.160063,2.225767,Cycling
11.953681,5.321369,2.181079,Cycling
12.689428,5.958342,2.200166,Cycling
13.426432,3.316456,2.163448,Cycling
14.791777,2.645589,2.231478,Cycling
14.174478,3.880639,2.162894,Cycling
13.427985,3.051816,2.139648,Cycling
13.238729,4.038652,2.202576,Cycling
13.405231,4.543699,2.265926,Cycling
15.393493,2.449038,2.078697,Cycling
14.528517,4.00011,2.117728,Cycling
13.178163,4.69257,2.228471,Cycling
13.563502,6.279459,2.247886,Cycling
14.390123,2.417345,2.067165,Cycling
14.280681,3.783308,2.127044,Cycling
12.91763,5.853234,2.169409,Cycling
13.430591,5.501149,2.216552,Cycling
13.299498,4.035951,2.112027,Cycling
12.889046,1.726057,2.004058,Cycling
13.598362,5.69879,2.259141,Cycling
13.683553,3.127439,2.203417,Cycling
14.854155,3.852519,2.202008,Cycling
13.40234,3.317561,2.106577,Cycling
14.365849,2.613002,2.138364,Cycling
13.721567,2.896487,2.244865,Cycling
12.849998,5.69961,2.199949,Cycling
11.988828,4.900251,2.198577,Cycling
11.808904,5.747007,2.06509,Cycling
11.353005,9.013987,2.230597,Cycling
10.72122,8.87706,2.228229,Cycling
10.874222,7.302064,2.188814,Cycling
11.092311,5.534648,2.072676,Cycling
11.351978,6.279098,2.171916,Cycling
10.978495,6.055335,2.125507,Cycling
11.270219,8.008827,2.220058,Cycling
11.278215,6.310467,2.11741,Cycling
11.727158,5.171775,2.185931,Cycling
11.184256,7.820553,2.157559,Cycling
12.191532,7.992338,2.227357,Cycling
11.548273,6.222899,2.109193,Cycling
11.338786,6.031642,2.150059,Cycling
11.252857,6.774854,2.142935,Cycling
11.470571,8.310948,2.226247,Cycling
11.322088,6.288252,2.158983,Cycling
11.753012,5.789662,2.073792,Cycling
11.138386,8.736625,2.222039,Cycling
